puuid,leagueId,queueType,tier,rank,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,32757ac8-b0ed-46c7-9875-2fc334037b39,RANKED_SOLO_5x5,PLATINUM,I,12,9,12,False,False,False,False
pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,b31483bd-e5bd-49b5-9f8d-22894bc5fb1d,RANKED_FLEX_SR,EMERALD,IV,89,27,30,False,False,False,False
