player,death_time,deaths_amount,kills_amount,total_damage_dealt,total_damage_to_champions,pentakills,quadra_kills,triple_kills,skillshots_hit,first_blood_kill,dragon_takedowns,team_baron_kills,total_minions_killed,wards_placed,wards_killed,individual_position,champion_name,kda,epic_monster_steals
Reive,112,4,32,208269,50391,0,2,4,,False,1,0,224,7,0,BOTTOM,Kaisa,8.75,0
Reive,401,10,21,193340,44374,0,0,0,,False,0,2,198,12,1,MIDDLE,Leblanc,2.5,0
Reive,189,8,5,152232,21154,0,0,0,,False,2,2,198,11,4,BOTTOM,Vayne,1.375,0
Reive,445,11,8,259147,52979,0,0,0,,False,0,1,278,8,0,MIDDLE,Ahri,1.9090909090909092,0
Reive,164,7,4,61451,10439,0,0,0,,False,0,0,120,7,0,MIDDLE,Ahri,0.7142857142857143,0
Reive,243,7,9,292081,28577,0,0,0,,False,4,1,56,11,2,JUNGLE,LeeSin,3.7142857142857144,0
Reive,66,2,14,360403,61916,0,0,0,,False,2,2,224,15,3,MIDDLE,Ryze,17.0,0
Reive,87,2,10,166758,27455,0,0,0,,False,1,1,191,11,2,MIDDLE,Anivia,8.0,0
Reive,28,2,3,76184,12185,0,0,0,,False,0,0,137,5,1,MIDDLE,Ryze,6.0,0
Reive,285,9,15,269345,55276,0,0,0,,True,0,1,266,12,2,MIDDLE,Yone,2.3333333333333335,0
Reive,0,0,5,46108,6058,0,0,0,,True,0,0,95,3,2,MIDDLE,Ahri,6.0,0
Reive,275,7,10,108801,32823,0,0,0,,True,0,0,147,12,2,MIDDLE,Leblanc,2.5714285714285716,0
Reive,317,9,13,166767,38299,0,0,0,,False,1,2,195,8,4,MIDDLE,Yone,3.111111111111111,1
Reive,41,1,13,123937,36728,0,0,0,,True,0,1,173,4,2,MIDDLE,Ahri,29.0,1
Reive,72,3,19,232837,48180,0,0,2,,True,1,0,212,9,1,MIDDLE,Yone,9.333333333333334,0
Reive,394,9,17,337710,57809,0,0,0,,False,4,1,265,8,4,MIDDLE,Yone,2.7777777777777777,0
Reive,68,2,14,271504,41042,0,0,0,,False,0,0,301,11,1,MIDDLE,Anivia,10.0,0
Reive,54,2,5,23420,7073,0,0,0,,False,0,0,23,15,2,UTILITY,Blitzcrank,6.0,0
Reive,172,5,6,96926,20658,0,0,0,,False,0,0,145,13,2,MIDDLE,Aurora,2.0,0
Reive,299,8,4,106058,16804,0,0,0,,True,0,0,169,8,1,MIDDLE,Sylas,0.75,0
Reive,260,9,7,165042,23094,0,0,0,,False,0,0,212,11,4,BOTTOM,Kalista,1.7777777777777777,0
